jamo,type,x,y,z,yang,diphthong,tense,cluster,cluster_front
ㄱ,cho,0.75,0.0,0.33,,,,0,
ㄲ,cho,0.75,0.0,0.67,,,,1,
ㄴ,cho,0.25,0.75,0.0,,,,0,
ㄷ,cho,0.25,0.0,0.33,,,,0,
ㄸ,cho,0.25,0.0,0.67,,,,1,
ㄹ,cho,0.25,1.0,0.0,,,,0,
ㅁ,cho,0.0,0.75,0.0,,,,0,
ㅂ,cho,0.0,0.0,0.33,,,,0,
ㅃ,cho,0.0,0.0,0.67,,,,1,
ㅅ,cho,0.25,0.5,0.33,,,,0,
ㅆ,cho,0.25,0.5,0.67,,,,1,
ㅇ,cho,0.75,0.75,0.0,,,,0,
ㅈ,cho,0.5,0.33,0.33,,,,0,
ㅉ,cho,0.5,0.33,0.67,,,,1,
ㅊ,cho,0.5,0.33,1.0,,,,0,
ㅋ,cho,0.75,0.0,1.0,,,,0,
ㅌ,cho,0.25,0.0,1.0,,,,0,
ㅍ,cho,0.0,0.0,1.0,,,,0,
ㅎ,cho,1.0,0.5,0.33,,,,0,
ㄱ,jong,0.75,0.0,0.33,,,,0,
ㄲ,jong,0.75,0.0,0.67,,,,1,
ㄳ,jong,,,,,,,1,ㄱ
ㄴ,jong,0.25,0.75,0.0,,,,0,
ㄵ,jong,,,,,,,1,ㄴ
ㄶ,jong,,,,,,,1,ㄴ
ㄷ,jong,0.25,0.0,0.33,,,,0,
ㄹ,jong,0.25,1.0,0.0,,,,0,
ㄺ,jong,,,,,,,1,ㄱ
ㄻ,jong,,,,,,,1,ㅁ
ㄼ,jong,,,,,,,1,ㄹ
ㄽ,jong,,,,,,,1,ㄹ
ㄾ,jong,,,,,,,1,ㄹ
ㄿ,jong,,,,,,,1,ㅂ
ㅀ,jong,,,,,,,1,ㄹ
ㅁ,jong,0.0,0.75,0.0,,,,0,
ㅂ,jong,0.0,0.0,0.33,,,,0,
ㅄ,jong,,,,,,,1,ㅂ
ㅅ,jong,0.25,0.5,0.33,,,,0,
ㅆ,jong,0.25,0.5,0.67,,,,1,
ㅇ,jong,0.75,0.75,0.0,,,,0,
ㅈ,jong,0.5,0.33,0.33,,,,0,
ㅊ,jong,0.5,0.33,1.0,,,,0,
ㅋ,jong,0.75,0.0,1.0,,,,0,
ㅌ,jong,0.25,0.0,1.0,,,,0,
ㅍ,jong,0.0,0.0,1.0,,,,0,
ㅎ,jong,1.0,0.5,0.33,,,,0,
ㅏ,jung,850,1400,2550,1,0,,,
ㅐ,jung,700,1600,2600,1,0,,,
ㅑ,jung,900,1350,2500,1,1,,,
ㅒ,jung,680,1550,2580,1,1,,,
ㅓ,jung,600,900,2300,0,0,,,
ㅔ,jung,440,1900,2700,0,0,,,
ㅕ,jung,580,950,2350,0,1,,,
ㅖ,jung,420,1850,2680,0,1,,,
ㅗ,jung,380,640,2200,1,0,,,
ㅘ,jung,700,800,2100,1,1,,,
ㅙ,jung,580,1300,2400,1,1,,,
ㅚ,jung,380,1500,2300,1,1,,,
ㅛ,jung,360,620,2180,1,1,,,
ㅜ,jung,300,600,2100,0,0,,,
ㅝ,jung,520,700,2200,0,1,,,
ㅞ,jung,440,1550,2500,0,1,,,
ㅟ,jung,310,1450,2280,0,1,,,
ㅠ,jung,290,580,2080,0,1,,,
ㅡ,jung,280,1100,2400,0,0,,,
ㅢ,jung,270,1300,2450,0,1,,,
ㅣ,jung,250,2600,3200,0,0,,,
